question,answers
Ẹya wo lo dagba julọ ni ilẹ Adulawo?,Hunter-gatherer san.
Ipinlẹ wo ni ilu Okitipupa wa l'orilẹ-ede Naijiria?,Ipinlẹ ondo.
Njẹ Robert Adam ni iyawo bi?,Bẹẹni.
Tani aare ti o tele Nelson Mandela ?,Jacob zuma.
Orilẹ-ede meloo lo wa ninu Soviet Union?,Marundilogun.
Nigba wo ni ijọba oloselu bẹrẹ ni ilẹ Amerika?,Bii ọdun 1630.
Awọn ara ibo lo maa n jẹ ounjẹ biltong ati Droewors,Ara ilẹ ila gusu ni afirika.
Kini orukọ ẹgbẹ orin ti Seun Kuti?,Sean kuti & egypt 80.
Unifasiiti wo lo dagba ju lọ ni gbogbo agbaye?,Yunifasiti ti bologna nilu itali.
Ọna ijoba apapọ meloo lo wa l'orilẹ-ede Naijiria?,Ipin ẹẹtadilogun.
Ere wo l'akọkọ ti oṣere Lilian Esoro se?,Extended family.
Ọmọ ilu wo ni Carl Bosch?,Cologne.
Nigba wo ni Sola Allyson kọkọ gbe orin jade?,2003.
awọn ọmọ-ẹhin melo ni Jesu Kristi koko ni?,Mejila.
Ta ni gomina akọkọ ni aye ijọba alagbada ni ipinlẹ Rivers?,Melford okilo.
ṣe Tess Onwueme lọsi ile-iwe giga?,Yes.
Kinni orukọ baba to bi Chukwuemeka Odumegwu-Ojukwu?,Sir louis phillip odumegwu ojukwu.
Ile-iwe ekọ giga wo ni Ọgbeni Bill Gates lọ?,Harvard college.
odun wo la da university of ibadan silẹ?,1948.
Iṣẹ  wo la mọ awọn ara ilajẹ si ?,Ipẹja.
Awọn ara ibo lo maa n wọ asọ oke ?,Yoruba.
Ilu wo ni olu ile iṣẹ Statens Serum Insitute wa?,Denmark (dẹnmarki).
Ilu wo ni Ile-ikawe Aarẹ Obasanjo wa?,"Oke mosan abeokuta, ìpínlẹ̀ ogun ní nàìjíríà."
Ọdun wo ni wọn bi Norma Shearer?,Ọdun 1902.
Ki ni orukọ alubọọmu ti Burnaboy gbejade ni ọdun 2020 ?,Twice as tall.
"Ọdun wo ni wọn ti kọkọ ṣe ere ""Living in Bondage""?",1992.
Ipinlẹ wo ni ilu Oloibiri wa ni ilẹ Naijiria ?,Ilẹ bayelsa.
Orin wo ni Rotimi Amaechi ati aya rẹ kọ?,Blessed the people the lord has chosen as his heritage.
Tani o n soju Oklahoma City ni ile igbimọ asofin orilẹ-ede America?,James inhofe.
Ilu wo ni awọn eniyan Mambila ti Kamurun ti jade?,Nàìjíríà.
Ilu wo ni o wa ni ibode Kamẹruunu si apa ila oorun?,Central african rebuplic (orilẹ-ede olominira aarin gbungbun afrika).
ṣe aare Barack Obama kawe nile Afrika?,No.
Ilu wo l'orilẹ-ede Naijiria ni Ken Saro-Wiwa ti wa?,Rivers.
tani alámòójútó eto eko ni orile ede Naijiria?,Adamu adamu.
Ọdun wo ni a bi Mohamed Ben Ahmed Abdelghani?,Ọdun 1927.
Ta lọ kọ national anthem orilẹ ede Spain ?,Manuel de espinosa de los monteros.
Ẹgbẹ oṣelu wo ni Aarẹ South Korea t'ọdun 2020 ti wa?,Ẹgbẹ democratic party of korea (dpk).
Ọjọ wo ni apartheid l'orilẹ-ede South Africa pari?,Ọjọ kẹẹta din logun oṣu kẹfa ọdun 1991.
Odun wo ni Tansania gba ominira?,Ọdun 1961.
Ki ni orukọ Meyọ ilu London?,Sadiq aman khan.
Fun igba meloo ni Leonardo da Vinci ṣe iṣẹ aworan Monalisa?,Laarin ọdun 1503 si ọdun 1506.
N jẹ epo robi n bẹ pupọ n'ilẹ Orilẹ-ede singapore?,Rara.
Ofin wo ni Daniel Bernoulli lo lati fi gbe ofin ti wọn pe ni Boyle's law kale?,[].
Tani o se wadi ede Python ti a ma n fi ba komputa ṣọrọ?,Guido van rossum.
ipinlẹ melo lo wa ni South Áfríkà ?,Mẹsan.
Ile-iwe giga wo ni aseoro-okowo Edward C. Prescott ti ṣe Phd akọkọ rẹ?,Carnegie mellon university.
"Laarin awọn oṣere ti Naijiria, kinni itumọ Kannywood?",Ile isẹ fiimu ti ariwa naijria le ede hausa.
Tani o dari ẹya Igbo ni igba ogun abẹle sẹlẹ ni orilẹ-ede Naijiria?,Lt. colonel odumegwu ojukwu.
Ibo ni wọn ti da ẹgbẹ olorin Styl-Plus sile?,2003.
ṣe Olumo rock jẹ nkan ti awọn eniyan fẹ ri ni Naijiria?,Bẹẹni.
"Ipa wo ni Zainab Jah ko ninu saa keji fiimu ""Deep State""?",Mínísítà agbógun ti ìwà ìbàjẹ́.
Ilu melooo lo wa ni orilẹ ede Naijiria?,36.
Kini orukọ abisọ Pope Francis?,Jorge mario bergoglio.
ọjọ wo ni ọkọ oju omi Titanic parun?,"Ọjọ 15, oṣu igbe, ọdun 1912."
ṣe ale ka fisiksi mo ara awon ise sayensi?,Yes.
Ni ọdun wo ni a da ile-ẹkọ Rufus Giwa Polytechnic silẹ?,Ọdun 1979.
Ọdun wo ni a bi Amitabh Bachchan?,Ọdun 1942.
Ki ni orukọ olu ilu Kansas?,Topeka.
Tani oludasilẹ Facebook?,Mark zuckerberg.
Kini orukọ ọkọ Agbani Darego?,Ishaya danjuma.
Ilu wo ni orilẹ-ede Amerika ni awọn ebi ọmọyele Sowore n gbe?,"Haworth, new jersey."
Kini iye awọn olugbe Tenerife?,"966,354."
Ki l'orukọ ọmọ akọkọ Oranmiyan?,Eweka.
Ile-ẹko giga wo ni Afeez Oyetoro ti jẹ olukọ?,Adeniran ogunsanya college of education.
Ilu wo ni Rẹmọ wa?,Ogun.
Ọdun wo ni Saint Valentine jade laye?,Oókànlá dín ní ọ́rin-lé-nígba.
Tani o fi Aarẹ Afẹ Babalola jẹ alaga kansu ti Yunifasiti ilu Eko?,Olóyè olúṣẹ́gun ọbásanjọ́.
Kinni n kan to bẹrẹ ogun Korea l'ọdun 1950?,Ifigagbaga leti bọda pẹlu iṣọte ni south korea.
Klọọbu agbabọọlu wo ni Joseph Yobo ṣiṣẹ pẹlu ni 2020?,Super eagles.
Ọdun wo ni a da ilu Eko silẹ?,1967.
ṣe Chinyere Yvonne Okoro ti gba ami ẹyẹ oṣere to dara ju lọ ri?,Yes.
N jẹ oriṣa Buddha jẹ ọkunrin tabi obinrin?,Obinrin.
Eniyan melooo lo n gbe Brazil?,Miliọnu 211.
Ọdun wo  ni wọn Folorunso Alakija?,15 agẹmọ 1951.
Ẹgbẹ wo ni Atiku Abubakar fi dupo aarẹ 2019?,People's democratic party.
ẹgbẹ wo ni Tahirou Congacou wa nigba ti oje aare ilẹ Benin?,Parti democratique dahomeen.
"Ta lẹni to kọ orin awọn ọmọde ""Mary Had a Little Lamb""?",Sarah josepha hale.
Ki ni deeti ti wọn da NITEL silẹ ni Naijiria ?,1985.
iru èdè wo ni wọn so pataki julo ni ile Rwanda?,Kinyarwanda.
Ọdun wo ni ọmọba Bola Ajibola ṣiṣẹ gege bi adajọ ileejọ agbaye?,1991 sí 1994.
Ile-isẹ wo ni Babatunde Raji Fashola ti bẹrẹ isẹ agbejọro?,Ilé ẹjọ́ tó ga jùlọ lórílẹ̀-ède nàìjíríà.
ṣe ajàfẹ́tọ̀ọ́ ọmọ ènìyan ni Nelson Mandela kio to di olóògbé?,Yes.
Kassym-Jomart Kemelevich Tokayev jẹ aarẹ orile-ede Kazakhstan lati ọdun wo si ọdun wo ?,2019.
Ede wo ni 'Hakuna Matata'?,Swahili.
Ki l'orukọ gẹẹsi fun ọmọ ẹranko Porcupine?,Porcupette.
Ki ni orukọ ọkọ ọbabirin Elisabeti keji ?,Philip mountbatten.
ṣe Istanbul ni olu ipinle Turki ?,No.
Ibo ni orisun odo Benue?,Adamawa plateau of northern cameroon.
Ọmọ olu ilu wo ni Ram Narayan n ṣe?,India.
Awọn ilu wo ni o tun wa ni gusu Gauteng ni South Africa yatọ si Midrand?,Pretoria.
ṣe orilẹ-ede Naijiria wa ni Afirika?,Yes.
Orilẹ-ede wo ni awọn Nazi ti wa?,German.
ọdun wo ni orílẹ̀-èdè Gámbíà gba ominira?,1965.
ọgba ẹranko (zoo) wo lo tobi julọ ni Guateng ?,Ọgba ẹranko igbẹ ti johannesburg.
Ijọba ibilẹ meloo lo wa ni orilẹ ede Naijiria?,774.
ṣe Chicago ni oluilu ti orilẹ ede Amerika?,No.
ọdun wo ni Ambode Akinwunmi jẹ gomina ilu Eko ni orilẹ-ede Naijiria?,2015.
Ipinlẹ melo ni wọn ti n lo ofin Sharia ni orilẹ-ede Naijiria?,Méjìlá.
Ilu meloo ni o wa ni orilẹ ede Jemani?,Mẹrindinlogun.
ipinlẹ melo lowa ninu orile-ede Kanada,Mẹwa.
Ile iwe giga wo ni Nnamdi Azikwe ti kawe gboye?,Ile iwe giga lincoln.
awọ melo lowa lara asia ti Naijiria?,Asia naa ni ila inaro meta.
Aare orile ede Naijiria wo ni o paari Third Mainland bridge ni ọdun 1990 ?,Ibrahim babangida.
Ọjọ melooo lo wa ninu kalenda Gregory?,365.2425.
Tani wọn fi Bernoulli beam sọ ri?,Jacob bernoulli.
Iwe wo ni onkọwe Christopher Abani kọkọ gbe jade?,Masters of the board.
Orilẹ ede melo ni o wa ni Afirika?,Mẹrinleladọọta.
ṣe apata wani ilaorun Vancouver?,Yes.
Ife ẹyẹ melo ni Lionel Messi ti gba titi di ọdun 2021?,Seven ballon d'or awards.
ṣe ilu Amẹ́ríkà lati bi alagba Billy Graham?,Yes.
Orilẹ ede wo ni wọn ti gba AFCON 2022 ?,Cameroon.
Ninu oṣu wo ni iji lile Dorian kọlu Florida ni ọdun 2019 ?,Owewe.
Kini awọ igi timba Sapẹlẹ ?,Awọ pinkii si burahun ati wura si pupa.
ọdun wo ni Harry Markowitz gba Ebun Nobel ninu ọ̀rọ̀-òkòwò.,1990.
Ilu wo ni wọn ti da ẹgbẹ akoroyin ti Nigeria (NUJ) sile ?,Èkó.
ṣe mathematiiki jẹ ẹko sayẹnsi?,Yes.
Iye ina wo ni ileese Mambilla Hydroelectric le pese?,"3,050."
Nibo ni won ti koko se afihan fiimu Wedding party?,Toronto international film festival.
àgbègbè wo ni ilu portugal la ti bi agba bọọlu christiano ronaldo,Agbegbe pedro ti ilu funchal.
Oloṣelu party wo ni Donald Trump lọdun 2019 ?,Republican.
ilu wo ni Josefu ninu bibeli ti sise ẹru?,Ijipti.
ṣe aare akọọkọ ti orilede Tanzania si wa laye ?,No.
Ọdun wo ni a dibo yan Clever Ikisikpo si ile igbimọ aṣofin agba?,Ọdun 2011.
Irufe aisan wo ni Umaru Musa Yar'Adua lọ gba itọju fun ni orilẹ-ede Saudi Arabia?,Pẹrikadítíìsì.
ile iwe giga wo ni Benjamin Jeremy lọ?,Fasiti columbia.
yunifasiti wo ni Pasitọ Enoch Adeboye ti jade digiri akọkọ?,Fasiti obafemi awolowo.
Ta l'ẹni to da ere fidio 'Mario' silẹ?,Shigeru miyamoto.
Ọmọ ẹgbẹ meloo ni o wa ni ile alagba aṣofin ni Naijiria?,109.
Ọdun wo ni wọn ṣe afihan Naira ni orile-ede Naijiria ?,1973.
ọdun wo ni ọga patapata Jack ti Twitter fi ise sile ?,2021.
Ọmọ ipinlẹ wo ni Thelma Okoduwa Ojiji?,Ẹdo.
Tani o kọkọ ko arun Ẹbola wọ orilẹ-ede Naijiria?,Patrick sawyer.
tani igba keji aare Muhammadu Buhari ni orilẹ-ede Naijiria?,Yemi osinbajo.
Ọdun melo ni awọn ara ilu Britain fi jọba lori awọn ara India ?,1858 si 1947.
Ki l'orukọ iya to bi olorin Michael Jackson l'ọmọ?,Katherine esther jackson.
Apa wo ni Santorini wa ni orile-ede Griisi ?,Ila ariwa ni ilẹ crete.
Ta l'ẹni to da Creative Commons silẹ?,"Lawrence lessig, hal abelson, ati eric eldred."
Tani olugbere-jade ere 'Sarafina!' to won ṣe l'ọdun 1992?,Anant singh.
Awọn ẹgbẹ agbabọlu wo ni Thierry Henry gba bọọlu fun ko to fẹyin ti?,Arsenal.
ṣe Rivers State Univerisity wa ni ipinlẹ Plateau?,No.
Kọntinẹẹti wo ni ilu Turkey wa?,Guusu ila oorun yuuropu ati eṣia.
ṣe ede Faranse wa ninu ede ti orilede Benin Republic nsọ?,Yes.
Igba melo ni Femi Fani-Kayode ti se igbeyawo?,Ẹ̀mẹẹ̀rin.
Olu ilu wo ni a bi Alàgbà Francis Akanu Ibiam si?,Ebonyi (ẹbọnyi).
ẹgbẹ oselu wo ni Anthony Olufunsho Williams ti bẹrẹ oselu ni sise?,United nigeria congress party.
se olori Elizabeth ni olori ti ilu Amerika?,No.
ṣe orilẹ ede ni Casablanca?,No.
Ta ni eni akọkọ ni orilẹ ede Naijiria ti a fun ni ami ẹyẹ SAN?,Chief f.r.a. williams ati dr nabo graham-douglas.
Ilu wo ni wọn  ti bi olorin Davido ?,Orilẹ-ede amerika.
Ọdun wo ni Rilwan Akiolu jẹ Ọba ni ilu Eko?,Ọdun 2003.
talo da kọmputa chip sile?,Robert noyce.
Ta ni Aarẹ European Union l'ọdun 2021?,Ursula von der leyen.
Ibo ni wọn bi Apọsteli Luku si?,Antioch.
Ọdun wo ni a bi Akin Euba?,Ọdun 1935.
ṣe Algeria wa lara awọn orilẹ ede to wa labe Afrika,Yes.
Ki ni oruko Gomina akọkọ ni ilu New York?,George clinton.
Ta ni Gomina Sokoto ni ọdun 1999?,Attahiru bafarawa.
ṣe harry markowitz lọsi ile iwe giga harvard?,No.
Ni oọdun wo ni Pope Celestine III di Pope?,Ọdun 1191.
Oke giga awọn Maya wo ni olokiki ju ni agbaye ?,Chichen itza.
Ilu wo ni o fun orilẹ ede South Africa ni ominira?,Ilẹ gẹẹsi.
ọmọ melo ni Gloria Bamiloye bi?,Mẹ́ta.
Ipo wo ni Amina Mohammed di mu ni ajọ isokan awọn orilẹ-ede?,Igbákejì akọ̀wẹ́-àgbà.
Oṣu wo ni awọn ara ilẹ igbo maa nṣe ayẹyẹ new yam festival ?,Ogun.
Se aare ilẹ igbimọ tele ri David Mark ti Naijiria was lati ipinlẹ Plateau?,No.
ilu wo ni orilede amerika ni Howard yunifásítì budo si>,"Washington, d.c."
"Kini orukọ isami Dejo Tunfulu, to je oṣere Yoruba?",Kunle adetokunbọ.
eyan melo lani ninu ẹgbe Agbábọ́ọ̀lù?,Mọkanla.
Kini ede oṣiṣẹ ni orile-ede Angola ?,Portuguese.
Ki ni olu ilu Chile?,Santiago.
Orile ede wo ni Gullfoss waterfall  wa ?,Iceland.
Ni odun wo ni a da ilu Delta silẹ?,Ọdun 1991.
Ẹgbẹ melo lo darapo di ẹgbẹ osisẹ orilẹ-ede Naijiria (NLC)?,Mẹ́rin.
Ki lo sokunfa iku Alex Badeh?,Èṣe ọta ìbọn.
Orilẹ-ede wo ni ileejo agbaye fikale sir?,"The hague, netherlands."
Tani Aarẹ Ile ifowopamọ  ilẹ Yuroopu?,Christine lagarde.
Ẹwọn ọdun meloo ni awọn gay l'orilẹ-ede Ghana ma ṣe?,Ọdun mẹta.
Nigbawo ni iselẹ ọsan di oru kọkọ ṣẹlẹ lagbaaye?,1947.
Ilu wo l'ode oni ni Babylon aye atijọ wa?,"Hillah, babil governorate, iraq."
Iye eniyan melo ni Obafemi Awolowo Stadium gba?,"25,000."
Ọjọ melo ni awọn ọmọ ọṣun fi n ṣe ayẹyẹ Oṣun Oṣogbo ?,Ọsẹ meji.
Iye eniyan melo lo n gbe Los Angeles?,"3,898,747."
tani ọga patapata ile ise Facebook in 2022?,Mark elliot zuckerberg.
Eso igi wo la fi n ṣe epo pupa ?,Eso igi ọpẹ.
Ta ni igbakeji Sanwo Olu nigba to jẹ gomina ilu Eko?,Fẹmi hamzat.
Kini akori oye ti Aare orilẹ-ede Faranse fi da Mike Adenuga lọla ni ọdun 2018?,[].
Kọntinẹẹti wo ni Fransi wa?,Iwọ oorun yuroopu ati awọn ilẹ okeokun ti amẹrika.
Ta ni o fopin si pipa awọn ọmọ ibeji ni ilu Calabar ?,Mary mitchell slessor.
Ipinlẹ wo ni wọn ti kọ ile iwe giga Convenant yunifasiti si?,Ogun.
Yunifasiti wo ni wọn kọkọ da silẹ ni ilu Amẹrika?,University of santo tomas.
Ẹran wo ni ngbẹru ni Nigeria ni aye atijọ?,Rakunmi.
Ibo ni olu ilu Australia?,Canberra.
"Iṣẹlẹ wo ni iwe Chimamanda Adichie ti akori rẹ jẹ ""Half of a Yellow Sun"" da le lori?",Ogun abẹ́lé nàìjíríà.
Ẹgbẹ oṣelu wo ni Adebayọ Alao-Akala wa nigba to jẹ Gomina Ipinlẹ Ọyọ l'orilẹ-ede Naijiria?,Ẹgbẹ people's democratic party (pdp).
Ta lo ṣe 'Scar' ninu ere 'The Lion King' t'ọdun 2019?,Chiwetel ejiofor.
Igi wo lo n so irugbin ti wọn lo fun obẹ Ogbono?,Irvingia.
Ki ni orukọ iyawo akọkọ oṣere Will Smith ?,Sheree zampino.
Ipin meloo lo wa ni iwe Luku ni Bibeeli?,Ẹẹrinlelogun.
Igba melo ni Rashi Yekini ju si awọn fun orilẹ-ede Naijiria?,37.
Ilu wo l'orilẹ-ede Naijiria ni olorin Fẹla Kuti ti wa?,Abẹokuta.
Ta ni gomina ipinlẹ Benue l'ọdun 2002?,George akume.
N jẹ ilu Sẹmẹ wa l'orilẹ-ede Benin republic tabi Naijiria?,Nigeria.
Ki ni orukọ baba Mahalia Jackson?,Johnny jackson.
"Ta lo da aworan ẹfẹ 'Ed, Edd n Eddy' silẹ?",Danny antonucci.
Ta lẹ ni ti o bori idibo gomina ni ipinlẹ Taraba ni ọdun 2011 ?,Danbaba suntai.
Se ilẹ Amẹrika na ma nlo ijọba ibilẹ ninu oselu wọn?,Bẹẹni.
Kini orukọ owonina ti Indonesia?,Rupiah.
ilu wo ni Arsenal FC budo si,London.
Ta ni olori akọkọ ẹgbẹ Taliban to wa l'orilẹ-ede Afghanistan?,Mohammed omar mujahid.
ṣe ilu Kòlómbìà lati bi Agba-boolu Samuel etoo?,No.
Tani igba keji Aare ile Kòlómbìà lowolowo?,Marta lucía ramírez.
Ta ni Plato n ṣe?,Onimọ ọgbọn ori giriiki ti wọn bi si ilu atẹni nigba aye kilasika ni giriisi atijọ.
Ọdun wo ni wọn da Air peace sile?,2013.
ki lorukọ ẹni to da ebun Nobel sile?,Alfred nobel.
Kinni orukọ apetan ile-iṣẹ moto BMW?,Bayerische motoren werke ag.
tani popu alakooko ni ijo Kátólìkì?,Saint peter.
Kilọọbu agbábọ́ọ̀lù wo ni akọkọ to Reece James ṣiṣẹ pẹlu?,Chelsea.
Kini orukọ asọ ti awọn ara scotland ma n wọ?,Aṣọ highland.
Iru arun jẹjẹrẹ wo ni o se Steve Jobs?,Àrun jẹjẹrẹ inú ikùn.
kiloruko ọga ile ise fly Emirates?,The finest in the sky.
Ọmọọdun meloo ni Enoch ninu Bibeli jẹ nigbati Ọlọrun gbe lọ?,Ẹ́ẹdógún dín ní ọ́rin lélọ́ọ̀dúnrún.
Nootu orin meloo lo wa?,Mejila.
Ta lo da Big Bang Theory silẹ?,Georges lemaître.
tani minisita alámòójútó ile fun orile ede Naijiria?,Babatunde fashola.
"Ki ni orukọ akọbi ọmọ Dwayne Michael Carter, Jr?",Reginae.
Kinni itumọ orukọ Musulumi 'Musa'?,Speaker of god.
Tani baba Charly Boy?,Justice chukwudifu oputa.
Apa ibo ni Eko ni Badagry wa?,Guusu ila oorun.
Ọdun wo ni wọn bi oṣere Ọdunlade Adekọla?,Ọdun 1976.
Tani iyawo Benson Idahosa?,Margaret idahosa.
Se ilu Paraguay ni ati bi agbabọọlu Edinson Cavani?,No.
Ta ni olori ile-iṣẹ UN ni ọdun 2015?,Ban ki-moon.
Tani agbọrọsọ ni ile Asoju ti ilẹ naijiria lowolowo?,Femi gbajabiamila.
Apa wo ninu okun Inidian ni okun Arabia mbẹ ?,Ila ariwa.
Elo ni awọn ọrẹ Davido ko jọ fun nigbati o pe awọn re nija ni ọdun 2021?,Mílíọ́ọ̀nù 201 náírà.
Ipinle wo ni redeemers yunifasiti budo si ni orílẹ̀-èdè Nàìjíríà?,Ipinle ọsun.
Apa ibo ni ilẹ Irelandi wa lori mapu agbaaye?,Eroopu.
Ọmọ ilu wo ni Onidajọ Ibrahim Tanko Muhammad?,Ìpínlẹ̀ bauchi.
Ipinlẹ wo ni l'orilẹ-ede Naijiria ni oloṣelu Abikẹ Dabiri-Erewa ti wa?,Ipinlẹ eko.
ọdun wo laṣe idibo gomina ni ilu Anambra kẹyin?,2021.
Ta lo se asia orilẹ-ede Naijiria?,Michael táíwò akínkúnmi.
iru iṣẹ wo ni Dele Giwa ṣe?,Akọroyin.
kiloruko asiwaju osere nínú eré The Passion?,Jim caviezel.
Ilu wo ni ogagun Ibrahim Attahiru n lọ nigbati baalu rẹ ja?,Kaduna.
Ọdun wo ni wọn bi Michael Phelps ?,1985.
Ọmọ orilẹ ede wo ni Dangote n ṣe?,Nigeria (naijiria).
Ọdun wo ni Kamẹruunu gba ominira?,Ọdun 1960.
Tani aare akọkọ t'orilẹ-ede France?,Louis-napoléon bonaparte.
Ẹgbẹ wo ni Femi Falana ti dije fun ipo gomina ipinle Ekiti?,National conscience party.
Ki l'orukọ obinrin to ṣe Abẹni ninu fiimu 'Abẹni' ti Tunde Kẹlani jẹ olu gbere-jade rẹ?,Sola asedeko.
Ta ni oludasilẹ ile iṣẹ Space X ?,Elon musk.
Ọdun wo ni a da  ipinlẹ Ọyọ silẹ?,1976.
N jẹ Aarẹ Muhammadu Buhari ti lọ s'ẹwọn ri?,Bẹẹni.
Esin wo ni awọn olusin rẹ poju lagbaaye?,Kristiẹni.
N jẹ igi Bamboo maa n hu ni ilẹ Asia nikan?,Bẹẹni.
Ile-iwe alakọbẹrẹ wo ni Akinwumi Ambode lọ?,"St. jude's primary school, èbúté metta, ìpínlẹ̀ èkó."
N jẹ oriṣa Buddha jẹ eyan laye ri?,Bẹẹni.
Aisan ẹya ara wo le se Gbenga Adeboye?,Àìsàn ajẹmọ́ kídìnrín.
Ọjọ wo ni Fela Kuti jade laye?,2 ògún 1997.
Ilu wo ni a bi Ludwig Lazarus Zamenhof si?,Grodno.
Tani Aarẹ ẹgbẹ oṣiṣẹ lorilẹ-ede (NLC) Naijiria?,Ayuba philibus wabba.
Ọwọ olorin wo ni Deborah Oluwaseyi Joshua kọkọ bu ọwọ lu iwe pẹlu?,Ile igbawojade sony columbia.
Ilu wo ni ijo makossa ti wa ?,Cameroon.
ilu wo labi Robert Boyle si?,Lismore castle ni county waterford.
Ki l'orukọ apetan (real/full name) ti olorin Seyi Shay n jẹ?,Deborah oluwaseyi joshua.
Ta ni onimo sayensi ti oṣe awari vaccine Polio ?,Jonas edward salk.
Obasanjọ je aarẹ orilẹ ede Naijiria lati ọdun 2003 si ọdun wo ?,1999 si 2007.
Ki loruko eni toya asia ti Naijiria?,Michael taiwo akinkunmi.
Kọntineti wo ni ilu Pompei wa ko to palẹmọ?,Europe.
ile iṣe wo lo kọọkọ bẹẹrẹ iṣe Internet?,The advanced research projects agency (arpa).
Bawo ni Ogiame Atuwatse III se jẹ si Ogiame Ikenwoli I ?,Ọ́ńkù.
Kini akọri ami ẹyẹ ti awo Twice as Tall gba ni Grammy award?,Àwo orin tó dára jùlọ lágbàáyé.
Ẹgbẹ oselu wo ni Beatriz Gimeno Reinoso nṣe?,Podemosi.
ọdun wo laada yunifasiti ti British Columbia sile?,1908.
Tani iyawo Ọdunlade Adekọla?,Ruth adekola.
ọdun wo lada Yunifásítì Simon Fraser silẹ?,1965.
N jẹ ile-iṣẹ aago Swatch bẹẹrẹ lati Switsalandi?,Bẹẹni.
papa isere wo ni o tobijulo ni Paraguay?,"Asunción, paraguay."
Ọjọ wo l'oṣu ni Trinidad ati Tobago gba ominira?,Ọjọ kinilelọgbọn oṣu kẹjo.
Awọn oloye agba melo ni wọn wa ninu Olubadan in council?,Mọ́kànlá.
Igba wo ni Pete Edochie gba amin ẹyẹ Member of the Order of the Niger?,2003.
Oke wo lo gaju ni ilẹ Afrika?,Kilimanjaro.
Ọwọ orilẹ-ede wo ni Sierra Leone ti gba ominiria?,Ilẹ̀ gẹ̀ẹ́sì.
Ki lorukọ ọba ookanlelogun ilu Warri ?,Ogiame atuwatse iii.
Elo ni barẹli epo ti wọn reti pe ilẹ-ise ifọ epo Dangote yoo ma seto lojumọ?,"650,000."
ọdun wo ni Chinyere Yvonne Okoro bẹrẹ isẹ oṣere?,2002.
"Ta ni oludari fiimu ""Lionheart"" ti o jade lọdun 2018 ?",Genevieve nnaji.
ṣe eniyan alawo funfun nikan laleri ni orile ede Amerika?,No.
Odo wo lo tobi julọ l'orilẹ-ede Moroko?,Petronas towers.
Kinni itumọ fun DTS ninu mimọ Kọmputa?,Distributed temperature sensing systems.
ṣe won ma n sọ èdè Faranse ni Quebec?,Yes.
Ibo ni olu ilu Spein?,Madrid.
Ilu wo ni wọn ti bi Femi Kuti?,London.
Ta lẹni ti o ṣe alakọwe Harry Potter ?,J. k. rowling.
Ọdun wo ni a da ilu Bayelsa silẹ?,Ọdun 1996.
ilu wo ni Amerika lọ bi George bush si?,New haven.
Ọmọ melo ni 2Baba ni lapapọ?,Méje.
Kinni orukọ ọkọ to fẹ Shannon Matilda Wells Lucid?,Michael f. lucid.
N jẹ Freetown ni ilu ti tobi ju lọ l'orilẹ-ede Sierra-leone?,Bẹẹni.
Laaarin ọdun wo ni Aristotulu gbe ile aye?,Ọdún 384 sí ọdún 322 ṣáájú sànmánì tiwa.
ṣe agba bọọlu Maradona ti fẹyinti?,Yes.
Ki ni orukọ iwe ti Michelle Obama gbejade ni ọdun 2018 ?,Becoming.
Olu ilu wo ni a bi George Fitzgerald Smoot III si?,Florida.
Ta ni oṣere obinrin to ṣere apa 'Tokyo' ninu ere Spain 'La Casa De Papel'?,Úrsula corberó.
Ile-iwe wo ni Iyiola Omisore ti gba oye imọ ijinle Phd rẹ?,[].
tani igba keji adari igbimọ ijọba ni ipinle Anambra?,[].
ṣe agba tẹnisi Roger Federer ti feyinti?,[].
ọmọ ọdun melo ni Taye Ismaila Taiwo?,[].
Ọmọọdun meloo ni Sylvia Ray Rivera nigba to ku?,[].
Ta ni o jẹ Alake akọkọ ni ilu Ẹgba ?,[].
Ọmọ ọdun meloo ni Billy Ocean nigba ti o gba ẹbun Grammy?,[].
Ni ọdun wo ni Miles Dewey Davis III gbe awo orin akọkọ ti o ṣe jade?,[].
Deparment wo ni ọjọgbọn Wole Soyinka ti jade ni ile iwe giga ?,[].
kini iye metres ti ori oke everest fi ga?,[].
Bawo ni ilu Rẹmọ ṣe jin si Ilu Eko si?,[].
isinmi melo lowa ni oṣu November ni ile United Kingdom?,[].
Ta lo gba awọọdu ọmọọbinrin to rẹwa julọ ni gbogbo ilẹ Amẹrika l'ọdun 2020?,[].
Ta lo mu ẹsin imale (Islam) wa si ilẹ Afirika ?,[].
Ṣe obinrin ti jẹ aarẹ orilẹ ede Amẹrika tẹlẹ ri?,[].
se aleri ile ise KPMG ni orílẹ̀-èdè Naijiria?,[].
ile iwe giga wo ni G. O. Apata ti kọọkọ sisẹ?,[].
Ọmọ ọdun melo ni Yemi Osibanjo nigbati o bere ise gege bi oluko ni ile-eko giga?,[].
Ta l'ẹni to jẹ aare akọkọ fun ẹgbẹ National Association of Travel and Tourism Writers of Nigeria?,[].
Ta l'ẹni to kọkọ da ẹrọ fun Virtual Reality (Machine for Virtual Reality)?,[].
Ki ni iye iwọn agbegbe Badagry?,[].
ṣe omo bibi ilu romu ni alagba pope Francis ?,[].
N jẹ ile-iṣẹ kọmputa HP maa n ṣe aago ọgbọn (smart watches)?,[].
Ile iwe wo ni Chioma Omeruah lo fi kikọ iwe alakọọbẹrẹ?,[].
